prom_peak,gene,MoreOpenIn
17:74732377-74734247,SRSF2,delta 2
17:7475668-7476693,EIF4A1,delta 2
17:75084502-75085139,SEC14L1,delta 2
17:75136313-75137336,SEC14L1,delta 2
17:77812457-77813748,CBX4,delta 2
17:78074889-78075603,GAA,delta 2
17:78120827-78121960,EIF4A3,delta 2
17:78388518-78389438,ENDOV,delta 2
17:78965405-78966398,CHMP6,delta 2
17:79071168-79071446,BAIAP2,delta 2
17:79196659-79197400,AZI1,delta 2
17:79650479-79651596,HGS,delta 2
17:79650479-79651596,ARL16,delta 2
17:79678733-79679854,SLC25A10,delta 2
17:79869041-79869726,PCYT2,delta 2
17:79884235-79886227,MAFG,delta 2
17:80055897-80056958,FASN,delta 2
17:80415919-80416822,NARF,delta 2
17:80709193-80710568,TBCD,delta 2
17:81009013-81010082,B3GNTL1,delta 2
17:8150800-8152784,PFAS,delta 2
17:8150800-8152784,CTC1,delta 2
18:11857133-11857926,GNAL,delta 2
18:11980524-11981862,IMPA2,delta 2
18:12307861-12309003,TUBB6,delta 2
18:12419775-12421343,SLMO1,delta 2
18:12657001-12658788,SPIRE1,delta 2
18:12657001-12658788,AP005482.1,delta 2
18:12657001-12658788,PSMG2,delta 2
18:13726125-13727375,FAM210A,delta 2
18:13726125-13727375,RNMT,delta 2
18:19191864-19192716,SNRPD1,delta 2
18:19284078-19285261,ABHD3,delta 2
18:20512889-20514112,RBBP8,delta 2
18:21692570-21693681,TTC39C,delta 2
18:23806033-23807183,TAF4B,delta 2
18:25755946-25758548,CDH2,delta 2
18:2655047-2656933,SMCHD1,delta 2
18:267477-268949,THOC1,delta 2
18:29264192-29266131,B4GALT6,delta 2
18:3012538-3013665,LPIN2,delta 2
18:32289712-32290361,DTNA,delta 2
18:3247103-3248126,MYL12A,delta 2
18:32847012-32848278,ZSCAN30,delta 2
18:32921001-32921370,ZNF24,delta 2
18:39534855-39535562,PIK3C3,delta 2
18:40857091-40857692,SYT4,delta 2
18:42258907-42261025,SETBP1,delta 2
18:43651725-43652583,PSTPIP2,delta 2
18:47013051-47013937,C18orf32,delta 2
18:47086948-47088555,LIPG,delta 2
18:47720910-47721982,MYO5B,delta 2
18:48493925-48495093,ELAC1,delta 2
18:48493925-48495093,SMAD4,delta 2
18:48555922-48557389,SMAD4,delta 2
18:55888530-55888937,NEDD4L,delta 2
18:56338184-56339390,MALT1,delta 2
18:59560059-59562143,RNF152,delta 2
18:60189514-60190733,ZCCHC2,delta 2
18:657292-658736,TYMS,delta 2
18:657292-658736,C18orf56,delta 2
18:77866590-77867997,ADNP2,delta 2
18:77904994-77906577,AC139100.2,delta 2
18:78004412-78005749,PARD6G,delta 2
18:8707001-8707564,SOGA2,delta 2
18:9333980-9335384,TWSG1,delta 2
18:9913445-9915229,VAPA,delta 2
19:1016613-1017312,TMEM259,delta 2
19:10513879-10515091,CDC37,delta 2
19:10827968-10828865,DNM2,delta 2
19:11615858-11617100,ZNF653,delta 2
19:12721421-12722485,ZNF490,delta 2
19:12721421-12722485,ZNF791,delta 2
19:1275237-1276147,C19orf24,delta 2
19:12777188-12777757,MAN2B1,delta 2
19:12777188-12777757,WDR83,delta 2
19:12791904-12792975,DHPS,delta 2
19:12845163-12845739,C19orf43,delta 2
19:13001462-13002119,GCDH,delta 2
19:13044068-13044752,FARSA,delta 2
19:1354243-1355292,MUM1,delta 2
19:1383186-1384390,NDUFS7,delta 2
19:13841938-13842719,CCDC130,delta 2
19:14247306-14248566,ASF1B,delta 2
19:14628298-14629743,DNAJB1,delta 2
19:16308033-16309240,AP1M1,delta 2
19:16652779-16653818,CHERP,delta 2
19:17416157-17416928,MRPL34,delta 2
19:17580280-17581614,SLC27A1,delta 2
19:18529565-18530618,SSBP4,delta 2
19:18746919-18747966,KLHL26,delta 2
19:19143825-19145415,SUGP2,delta 2
19:19143825-19145415,ARMC6,delta 2
19:19516017-19516737,GATAD2A,delta 2
19:19976419-19977365,ZNF253,delta 2
19:2475817-2476995,GADD45B,delta 2
19:2840774-2841794,ZNF555,delta 2
19:2866924-2867447,ZNF556,delta 2
19:33667497-33668842,LRP3,delta 2
19:33864267-33865261,CEBPG,delta 2
19:34012378-34013022,PEPD,delta 2
19:3505710-3506450,FZR1,delta 2
19:3556924-3558335,MFSD12,delta 2
19:35645437-35646224,FXYD5,delta 2
19:36544850-36545906,THAP8,delta 2
19:36544850-36545906,WDR62,delta 2
19:37095505-37096888,ZNF382,delta 2
19:37095505-37096888,ZNF529,delta 2
19:37808448-37809141,HKR1,delta 2
19:38893391-38894331,FAM98C,delta 2
19:39390060-39390890,SIRT2,delta 2
19:39390060-39390890,NFKBIB,delta 2
19:39616080-39616579,PAK4,delta 2
19:3985011-3985668,EEF2,delta 2
19:39881281-39882284,PAF1,delta 2
19:39881281-39882284,MED29,delta 2
19:40030066-40031094,EID2,delta 2
19:40931372-40932170,SERTAD1,delta 2
19:41221514-41223314,ADCK4,delta 2
19:41221514-41223314,ITPKC,delta 2
19:42772321-42773469,CIC,delta 2
19:42787362-42788661,CIC,delta 2
19:42817138-42817993,TMEM145,delta 2
19:4342608-4343691,MPND,delta 2
19:44258609-44259542,SMG9,delta 2
19:44439006-44439878,ZNF45,delta 2
19:4457145-4458192,UBXN6,delta 2
19:44575910-44576601,ZNF284,delta 2
19:45348900-45349807,PVRL2,delta 2
19:45393554-45394623,TOMM40,delta 2
19:45504424-45505558,RELB,delta 2
19:45579485-45580007,ZNF296,delta 2
19:45681027-45682343,TRAPPC6A,delta 2
19:45681027-45682343,BLOC1S3,delta 2
19:46087286-46088407,OPA3,delta 2
19:46133769-46134135,EML2,delta 2
19:4723623-4724830,DPP9,delta 2
19:47291489-47292116,SLC1A5,delta 2
19:47538745-47539841,NPAS1,delta 2
19:47759570-47760785,CCDC9,delta 2
19:48972042-48973128,CYTH2,delta 2
19:49631110-49631816,PPFIA3,delta 2
19:50143309-50144168,RRAS,delta 2
19:50320583-50321705,FUZ,delta 2
19:50320583-50321705,MED25,delta 2
19:50431914-50433520,ATF5,delta 2
19:50431914-50433520,NUP62,delta 2
19:50431914-50433520,IL4I1,delta 2
19:50879453-50880593,NR1H2,delta 2
19:52531169-52532262,ZNF614,delta 2
19:52598400-52599345,ZNF841,delta 2
19:53193068-53194406,ZNF83,delta 2
19:53445710-53446400,ZNF816,delta 2
19:53606090-53607214,ZNF160,delta 2
19:53897825-53899069,ZNF765,delta 2
19:54040560-54042131,ZNF331,delta 2
19:54962397-54963206,LENG8,delta 2
19:55770206-55770964,PPP6R1,delta 2
19:55791179-55791936,HSPBP1,delta 2
19:56651893-56652726,ZNF444,delta 2
19:57018798-57019737,ZNF471,delta 2
19:57049617-57050608,ZFP28,delta 2
19:57078294-57079373,ZNF470,delta 2
19:5719907-5720853,LONP1,delta 2
19:5719907-5720853,CATSPERD,delta 2
19:57946217-57947294,ZNF749,delta 2
19:58427593-58428501,ZNF417,delta 2
19:58897826-58898796,RPS5,delta 2
19:58951343-58951934,ZNF132,delta 2
19:58986977-58987844,ZNF446,delta 2
19:7894346-7895188,EVI5L,delta 2
19:796875-798105,PTBP1,delta 2
19:8372633-8373750,CD320,delta 2
19:8509493-8510743,HNRNPM,delta 2
19:9731588-9732659,ZNF561,delta 2
19:9731588-9732659,C19orf82,delta 2
2:100105790-100107190,REV1,delta 2
2:10090924-10092436,GRHL1,delta 2
2:101178803-101180011,PDCL3,delta 2
2:10183327-10184663,KLF11,delta 2
2:101868276-101870031,CNOT11,delta 2
2:101924472-101925623,RNF149,delta 2
2:102313121-102314794,MAP4K4,delta 2
2:105653899-105654937,MRPS9,delta 2
2:105944996-105946794,TGFBRAP1,delta 2
2:106360549-106362314,NCK2,delta 2
2:109335656-109336543,RANBP2,delta 2
2:11051510-11052663,KCNF1,delta 2
2:113341581-113342566,CHCHD5,delta 2
2:113402691-113404217,SLC20A1,delta 2
2:113997662-113998962,PAX8,delta 2
2:114646993-114648698,ACTR3,delta 2
2:118571900-118572770,DDX18,delta 2
2:120124031-120125393,C2orf76,delta 2
2:120124031-120125393,DBI,delta 2
2:121010030-121011519,RALB,delta 2
2:122406139-122407847,CLASP1,delta 2
2:124782109-124783746,CNTNAP5,delta 2
2:128144677-128146031,MAP3K2,delta 2
2:128568202-128569190,WDR33,delta 2
2:131099569-131100831,IMP4,delta 2
2:131099569-131100831,CCDC115,delta 2
2:131850448-131851655,FAM168B,delta 2
2:131862014-131864287,PLEKHB2,delta 2
2:133173370-133174524,GPR39,delta 2
2:134877263-134877994,MGAT5,delta 2
2:136498976-136500323,UBXN4,delta 2
2:145274005-145275403,ZEB2,delta 2
2:14774411-14775929,AC011897.1,delta 2
2:148777661-148779222,ORC4,delta 2
2:148777661-148779222,MBD5,delta 2
2:149401664-149403964,EPC2,delta 2
2:149632503-149633458,KIF5C,delta 2
2:157291968-157293190,GPD2,delta 2
2:162016581-162017712,TANK,delta 2
2:162164582-162165376,PSMD14,delta 2
2:165697024-165698904,COBLL1,delta 2
2:166430079-166431040,CSRNP3,delta 2
2:169102746-169104477,STK39,delta 2
2:169312276-169313706,CERS6,delta 2
2:169668145-169668789,NOSTRIN,delta 2
2:170680877-170681672,METTL5,delta 2
2:170683732-170684788,UBR3,delta 2
2:171785291-171786493,GORASP2,delta 2
2:172543750-172544935,DYNC1I2,delta 2
2:172864401-172865223,METAP1D,delta 2
2:172949410-172950622,DLX1,delta 2
2:173420073-173421445,PDK1,delta 2
2:175112701-175113798,OLA1,delta 2
2:175869327-175870613,CHN1,delta 2
2:176866032-176867721,KIAA1715,delta 2
2:178128152-178130329,NFE2L2,delta 2
2:178416988-178418199,TTC30B,delta 2
2:179058272-179060252,OSBPL6,delta 2
2:17934444-17935720,SMC6,delta 2
2:17934444-17935720,GEN1,delta 2
2:180128220-180129906,SESTD1,delta 2
2:183105546-183106267,PDE1A,delta 2
2:183580009-183581676,DNAJC10,delta 2
2:187350443-187351631,ZC3H15,delta 2
2:187360991-187361615,AC018867.1,delta 2
2:191207961-191209357,INPP1,delta 2
2:191207961-191209357,HIBCH,delta 2
2:192014949-192016390,STAT4,delta 2
2:196521405-196523058,SLC39A10,delta 2
2:200775731-200776764,C2orf69,delta 2
2:201390470-201391226,SGOL2,delta 2
2:201987099-201987371,CFLAR,delta 2
2:202898030-202899807,FZD7,delta 2
2:202937507-202938206,AC079354.1,delta 1
2:203129850-203130992,NOP58,delta 2
2:203499233-203500973,FAM117B,delta 2
2:207629530-207630871,MDH1B,delta 2
2:207629530-207630871,FASTKD2,delta 2
2:208489329-208491035,METTL21A,delta 2
2:209118846-209120342,IDH1,delta 2
2:210288254-210289358,MAP2,delta 2
2:214016054-214017186,IKZF2,delta 2
2:215673770-215675061,BARD1,delta 2
2:216176398-216177503,ATIC,delta 2
2:217276721-217277744,SMARCAL1,delta 2
2:219081208-219082594,ARPC2,delta 2
2:219151193-219152176,TMBIM1,delta 2
2:219432691-219434115,USP37,delta 2
2:219432691-219434115,RQCD1,delta 2
2:219646327-219647472,CYP27A1,delta 1
2:220117785-220119444,TUBA4A,delta 2
2:220143618-220144767,DNAJB2,delta 2
2:220172902-220174408,PTPRN,delta 2
2:222436301-222438604,EPHA4,delta 2
2:231729253-231729998,ITM2C,delta 2
2:231921159-231921980,PSMD1,delta 2
2:232574908-232575305,PTMA,delta 2
2:233414893-233416005,EIF4E2,delta 2
2:233414893-233416005,TIGD1,delta 2
2:233721289-233721744,C2orf82,delta 2
2:233766511-233767024,NGEF,delta 2
2:234160016-234160715,ATG16L1,delta 2
2:239147790-239149171,HES6,delta 2
2:239228556-239229685,TRAF3IP1,delta 2
2:242089490-242090258,PPP1R7,delta 2
2:242089490-242090258,PASK,delta 2
2:242211252-242212739,HDLBP,delta 2
2:242295280-242296125,FARP2,delta 2
2:242606034-242606431,ATG4B,delta 2
2:242625837-242626916,DTYMK,delta 2
2:242640670-242642285,ING5,delta 2
2:24345867-24346923,PFN4,delta 2
2:24345867-24346923,FAM228B,delta 2
2:24713513-24715739,NCOA1,delta 2
2:25895549-25897044,DTNB,delta 2
2:26100280-26101950,ASXL2,delta 2
2:26466930-26468477,HADHA,delta 2
2:26466930-26468477,HADHB,delta 2
2:26568356-26569781,EPT1,delta 2
2:26568356-26569781,GPR113,delta 2
2:27193086-27194468,MAPRE3,delta 2
2:27272850-27275118,AGBL5,delta 2
2:27805548-27806453,ZNF512,delta 2
2:27850830-27852063,GPN1,delta 2
2:27850830-27852063,CCDC121,delta 2
2:28614920-28615966,FOSL2,delta 2
2:29126986-29128112,WDR43,delta 2
2:29336692-29337687,CLIP4,delta 1
2:30143277-30144856,ALK,delta 2
2:30453831-30455594,LBH,delta 2
2:33700533-33701875,RASGRP3,delta 2
2:37416824-37417326,SULT6B1,delta 2
2:37423414-37424429,SULT6B1,delta 2
2:37423414-37424429,AC007390.5,delta 2
2:37550973-37552752,PRKD3,delta 2
2:38603347-38604865,ATL2,delta 2
2:39351179-39351845,SOS1,delta 2
2:39607395-39608324,MAP4K3,delta 2
2:42719773-42722400,KCNG3,delta 2
2:42719773-42722400,MTA3,delta 2
2:47629587-47630824,MSH2,delta 2
2:48132292-48134303,FBXO11,delta 2
2:54013496-54015075,GPR75-ASB3,delta 2
2:54013496-54015075,ERLEC1,delta 2
2:54349220-54350528,ACYP2,delta 2
2:55278289-55278663,RTN4,delta 2
2:61108109-61109246,REL,delta 2
2:62115208-62116270,CCT4,delta 2
2:62132412-62133313,COMMD1,delta 2
2:64067620-64069076,UGP2,delta 2
2:64245419-64247090,VPS54,delta 2
2:65215456-65217138,SLC1A4,delta 2
2:65454262-65455710,ACTR2,delta 2
2:65604664-65605361,SPRED2,delta 2
2:67624212-67625227,ETAA1,delta 2
2:676617-677655,TMEM18,delta 2
2:70484616-70485998,PCYOX1,delta 2
2:70528386-70529430,FAM136A,delta 2
2:7057142-7058385,RNF144A,delta 2
2:73339434-73340908,RAB11FIP5,delta 2
2:73441069-73441876,SMYD5,delta 2
2:74405347-74406502,MOB1A,delta 2
2:74684549-74685729,WBP1,delta 2
2:74734370-74735625,PCGF1,delta 2
2:79739504-79740508,CTNNA2,delta 2
2:85765659-85767212,MAT2A,delta 2
2:86332549-86333686,POLR1A,delta 2
2:86332549-86333686,PTCD3,delta 2
2:86421976-86422924,IMMT,delta 2
2:88926479-88927868,EIF2AK3,delta 2
2:95786946-95788124,MRPS5,delta 2
2:96782159-96783062,ADRA2B,delta 2
2:96926098-96926826,TMEM127,delta 2
2:97202225-97203493,ARID5A,delta 2
2:97426200-97427199,CNNM4,delta 2
2:98611697-98613038,TMEM131,delta 2
2:98972782-98973889,AC092675.3,delta 2
2:99952484-99954374,TXNDC9,delta 2
2:99952484-99954374,EIF5B,delta 2
20:11871071-11872317,BTBD3,delta 2
20:11898303-11898835,BTBD3,delta 2
20:1206030-1206900,RAD21L1,delta 2
20:1305649-1306712,SDCBP2,delta 2
20:13619180-13620084,TASP1,delta 2
20:16710234-16711123,SNRPB2,delta 2
20:17549617-17551477,BFSP1,delta 2
20:17549617-17551477,DSTN,delta 2
20:1874944-1876238,SIRPA,delta 2
20:20053928-20055093,C20orf26,delta 2
20:2082308-2084119,STK35,delta 2
20:21283542-21284605,XRN2,delta 2
20:23330614-23332165,NXT1,delta 2
20:25370520-25371866,ABHD12,delta 2
20:25603754-25605227,NANP,delta 2
20:2632458-2633776,NOP56,delta 2
20:2672766-2674481,EBF4,delta 2
20:30605582-30607277,CCM2L,delta 2
20:31071086-31071987,C20orf112,delta 2
20:32077441-32078429,CBFA2T2,delta 2
20:32254236-32256051,ACTL10,delta 2
20:32254236-32256051,NECAB3,delta 2
20:33103032-33104617,DYNLRB1,delta 2
20:34042409-34043844,GDF5,delta 2
20:34042409-34043844,CEP250,delta 2
20:3451193-3452185,ATRN,delta 2
20:34541560-34543128,SCAND1,delta 2
20:35579535-35580607,SAMHD1,delta 2
20:361269-363276,TRIB3,delta 2
20:3800689-3801622,AP5S1,delta 2
20:388193-389424,RBCK1,delta 2
20:39316998-39319002,MAFB,delta 2
20:39765210-39766448,PLCG1,delta 2
20:43513821-43514880,YWHAB,delta 2
20:43976340-43977346,SDC4,delta 2
20:44539398-44539977,PLTP,delta 2
20:44562327-44564467,PCIF1,delta 2
20:44600136-44601359,ZNF335,delta 2
20:48598834-48600772,SNAI1,delta 2
20:48806884-48809111,CEBPB,delta 2
20:5093286-5094205,TMEM230,delta 2
20:5099961-5101003,PCNA,delta 2
20:5590591-5592003,GPCPD1,delta 2
20:57225162-57226652,STX16,delta 2
20:5986314-5987266,CRLS1,delta 2
20:60813108-60813718,OSBPL2,delta 2
20:61556988-61558128,DIDO1,delta 2
20:61568737-61570219,DIDO1,delta 2
20:61568737-61570219,GID8,delta 2
20:62257933-62258972,GMEB2,delta 2
20:62282947-62283956,STMN3,delta 2
20:62289096-62290326,RTEL1,delta 2
20:62338574-62340086,ZGPAT,delta 2
20:62338574-62340086,ARFRP1,delta 2
20:62525778-62526852,DNAJC5,delta 2
21:16436456-16438418,NRIP1,delta 2
21:17101882-17102987,USP25,delta 2
21:19776085-19776495,TMPRSS15,delta 2
21:27541430-27543661,APP,delta 2
21:33031530-33032875,SOD1,delta 2
21:33103351-33105017,SCAF4,delta 2
21:33764950-33766055,URB1,delta 2
21:33764950-33766055,C21orf119,delta 2
21:33783809-33785706,EVA1C,delta 2
21:34602004-34603531,IFNAR2,delta 2
21:34960315-34961645,DONSON,delta 2
21:35445079-35446614,MRPS6,delta 2
21:35445079-35446614,SLC5A3,delta 2
21:37757454-37758266,CHAF1B,delta 2
21:38444170-38446594,PIGP,delta 2
21:38444170-38446594,TTC3,delta 2
21:43429426-43431513,ZBTB21,delta 2
21:45526691-45527796,PWP2,delta 2
21:46292357-46294196,PTTG1IP,delta 2
21:47878123-47879196,DIP2A,delta 2
22:17601662-17602800,CECR6,delta 2
22:17601662-17602800,AC006946.15,delta 2
22:18506210-18507740,MICAL3,delta 2
22:18592893-18593930,TUBA8,delta 2
22:18893362-18894320,DGCR6,delta 2
22:19434497-19435949,HIRA,delta 2
22:19434497-19435949,C22orf39,delta 2
22:19973887-19974996,ARVCF,delta 2
22:20104385-20105693,TRMT2A,delta 2
22:20104385-20105693,RANBP1,delta 2
22:21212537-21213602,PI4KA,delta 2
22:21212537-21213602,SNAP29,delta 2
22:21921823-21922758,UBE2L3,delta 2
22:21983340-21984600,YDJC,delta 2
22:24128890-24129938,SMARCB1,delta 2
22:24236062-24237858,MIF,delta 2
22:28314510-28315982,PITPNB,delta 2
22:29468610-29469204,KREMEN1,delta 2
22:29702112-29703464,GAS2L1,delta 2
22:29949314-29950133,THOC5,delta 2
22:30722762-30723515,TBC1D10A,delta 2
22:31030440-31032447,SLC35E4,delta 2
22:31063401-31064304,DUSP18,delta 2
22:32021699-32022008,PISD,delta 2
22:32860257-32860886,BPIFC,delta 2
22:32870474-32871720,FBXO7,delta 2
22:36424253-36425397,RBFOX2,delta 2
22:36877330-36878391,TXN2,delta 2
22:36902783-36903590,FOXRED2,delta 2
22:37172018-37172717,IFT27,delta 2
22:37822077-37823863,ELFN2,delta 2
22:38712725-38713960,CSNK1E,delta 2
22:38901512-38902987,DDX17,delta 2
22:39096505-39097461,JOSD1,delta 2
22:39548383-39549293,CBX7,delta 2
22:40573081-40574080,TNRC6B,delta 2
22:41032232-41033416,MKL1,delta 2
22:41842639-41843636,TOB2,delta 2
22:42016243-42017843,DESI1,delta 2
22:42016243-42017843,XRCC6,delta 2
22:43010370-43012042,POLDIP3,delta 2
22:46372817-46373380,WNT7B,delta 2
22:50311631-50312468,CRELD2,delta 2
22:50311631-50312468,ALG12,delta 2
22:50638850-50639925,SELO,delta 2
3:100053058-100054126,NIT2,delta 2
3:10052484-10053186,EMC3,delta 2
3:105084956-105087288,ALCAM,delta 2
3:108015056-108015519,HHLA2,delta 2
3:114865483-114867061,ZBTB20,delta 2
3:11760158-11762334,VGLL4,delta 2
3:120067524-120068534,LRRC58,delta 2
3:120626547-120628124,STXBP5L,delta 2
3:121973260-121974015,CASR,delta 1
3:122134770-122135487,WDR5B,delta 2
3:122282620-122283790,DTX3L,delta 2
3:122282620-122283790,PARP9,delta 2
3:122512329-122513229,HSPBAP1,delta 2
3:122512329-122513229,DIRC2,delta 2
3:122785620-122786724,PDIA5,delta 2
3:124597388-124598099,ITGB5,delta 2
3:125093428-125095547,ZNF148,delta 2
3:12525413-12526511,TSEN2,delta 2
3:126075957-126076846,KLF15,delta 2
3:127390971-127392642,ABTB1,delta 2
3:12882375-12883587,RPL32,delta 2
3:130465391-130466002,PIK3R4,delta 2
3:132372867-132373484,UBA5,delta 2
3:132377957-132379861,UBA5,delta 2
3:132377957-132379861,ACAD11,delta 2
3:132440738-132441991,NPHP3,delta 2
3:133291960-133293578,CDV3,delta 2
3:133524252-133525382,SRPRB,delta 2
3:133968958-133970077,RYK,delta 2
3:135914172-135916091,MSL2,delta 2
3:136580379-136581769,NCK1,delta 2
3:137833363-137834845,DZIP1L,delta 2
3:139396234-139397055,NMNAT3,delta 2
3:139653211-139655205,CLSTN2,delta 2
3:141456762-141458198,RNF7,delta 2
3:14165770-14167640,CHCHD4,delta 2
3:14165770-14167640,TMEM43,delta 2
3:142297135-142298037,ATR,delta 2
3:142314426-142315796,PLS1,delta 2
3:142442522-142444048,TRPC1,delta 2
3:14443573-14445488,SLC6A6,delta 2
3:14473405-14474301,SLC6A6,delta 2
3:145877982-145879690,PLOD2,delta 2
3:149469883-149470646,COMMD2,delta 2
3:149530057-149531442,RNF13,delta 2
3:149563425-149563958,RNF13,delta 2
3:150125662-150128361,TSC22D2,delta 2
3:150320643-150322056,SELT,delta 2
3:150320643-150322056,SERP1,delta 2
3:151986221-151987945,MBNL1,delta 2
3:15247323-15248343,CAPN7,delta 2
3:15373121-15374501,SH3BP5,delta 2
3:153838654-153840283,ARHGEF26,delta 2
3:155523243-155524452,C3orf33,delta 2
3:15642746-15643694,BTD,delta 2
3:15642746-15643694,HACL1,delta 2
3:157217089-157217822,VEPH1,delta 2
3:157827485-157828732,RSRC1,delta 2
3:158519097-158520405,MFSD1,delta 2
3:158526510-158526805,MFSD1,delta 2
3:15900384-15902379,ANKRD28,delta 2
3:160394646-160395079,ARL14,delta 2
3:169490460-169491634,MYNN,delta 2
3:169529405-169530969,LRRC34,delta 2
3:169683972-169685477,SEC62,delta 2
3:170587441-170588410,RPL22L1,delta 2
3:170625910-170626776,EIF5A2,delta 2
3:171757156-171758809,FNDC3B,delta 2
3:173112840-173113978,NLGN1,delta 2
3:17782177-17782536,TBC1D5,delta 2
3:17783446-17784655,TBC1D5,delta 2
3:179040237-179041705,ZNF639,delta 2
3:180629988-180630840,FXR1,delta 2
3:182697503-182698761,DCUN1D1,delta 2
3:183145093-183146924,MCF2L2,delta 2
3:183734986-183736227,ABCC5,delta 2
3:183851834-183853695,EIF2B5,delta 2
3:183874406-183874711,DVL3,delta 2
3:185541249-185544170,IGF2BP2,delta 2
3:186284836-186285352,TBCCD1,delta 2
3:186284836-186285352,DNAJB11,delta 2
3:186500602-186502308,EIF4A2,delta 2
3:194146529-194146848,ATP13A3,delta 2
3:194206332-194208622,ATP13A3,delta 2
3:195269553-195270628,PPP1R2,delta 2
3:195634632-195635589,TNK2,delta 2
3:196044413-196045525,TCTEX1D2,delta 2
3:196158124-196159779,UBXN7,delta 2
3:196466490-196467856,PAK2,delta 2
3:196668686-196669855,NCBP2,delta 2
3:197686606-197687742,IQCG,delta 2
3:197686606-197687742,LMLN,delta 2
3:19988134-19989615,EFHB,delta 2
3:19988134-19989615,RAB5A,delta 2
3:23243800-23245599,UBE2E2,delta 2
3:25824277-25825607,NGLY1,delta 2
3:25824277-25825607,OXSM,delta 2
3:25831274-25832102,NGLY1,delta 2
3:25831274-25832102,OXSM,delta 2
3:27410451-27411215,NEK10,delta 2
3:27524664-27526299,SLC4A7,delta 2
3:28282633-28283561,CMC1,delta 2
3:28389793-28391359,AZI2,delta 2
3:28389793-28391359,ZCWPW2,delta 2
3:30647289-30648946,TGFBR2,delta 2
3:32021945-32023497,OSBPL10,delta 2
3:32021945-32023497,ZNF860,delta 2
3:32543557-32544504,CMTM6,delta 2
3:32611481-32612885,DYNC1LI1,delta 2
3:33137958-33139259,GLB1,delta 2
3:33137958-33139259,TMPPE,delta 2
3:33839674-33840752,PDCD6IP,delta 2
3:37216256-37218418,LRRFIP2,delta 2
3:38206199-38207512,OXSR1,delta 2
3:3840299-3842111,LRRN1,delta 1
3:40565790-40566778,ZNF621,delta 2
3:41240326-41241915,CTNNB1,delta 2
3:42622947-42624049,SS18L2,delta 2
3:42622947-42624049,SEC22C,delta 2
3:42845335-42846318,HIGD1A,delta 2
3:43731722-43733217,ABHD5,delta 2
3:43731722-43733217,ANO10,delta 2
3:44802913-44803576,KIAA1143,delta 2
3:44802913-44803576,KIF15,delta 2
3:4508381-4509398,SUMF1,delta 2
3:4533857-4535347,ITPR1,delta 2
3:45729799-45731261,SACM1L,delta 2
3:45882948-45883983,LZTFL1,delta 2
3:47204709-47206410,SETD2,delta 2
3:48722941-48723765,NCKIPSD,delta 2
3:48884458-48885683,PRKAR2A,delta 2
3:48955706-48956994,ARIH2,delta 2
3:48955706-48956994,ARIH2OS,delta 2
3:49044472-49045595,WDR6,delta 2
3:49058351-49059876,NDUFAF3,delta 2
3:49058351-49059876,DALRD3,delta 2
3:49066253-49067135,IMPDH2,delta 2
3:49130643-49132197,QRICH1,delta 2
3:49507033-49508370,DAG1,delta 2
3:49590926-49592633,BSN,delta 2
3:49977232-49978121,RBM6,delta 2
3:50288664-50289176,GNAI2,delta 2
3:50374353-50375413,RASSF1,delta 2
3:51533100-51534474,VPRBP,delta 2
3:5163728-5165532,ARL8B,delta 2
3:51704804-51706144,TEX264,delta 2
3:52007652-52009446,ABHD14A,delta 2
3:52007652-52009446,RP11-155D18.14,delta 2
3:52007652-52009446,ABHD14B,delta 2
3:52007652-52009446,ACY1,delta 2
3:52007652-52009446,ABHD14A-ACY1,delta 2
3:52273054-52273744,TWF2,delta 2
3:52273054-52273744,TLR9,delta 2
3:52443897-52444958,BAP1,delta 2
3:52443897-52444958,PHF7,delta 2
3:52739483-52740450,SPCS1,delta 2
3:52739483-52740450,GLT8D1,delta 2
3:53194579-53196094,PRKCD,delta 2
3:53828685-53829652,CACNA1D,delta 2
3:56501930-56502804,ERC2,delta 2
3:56835159-56836474,ARHGEF3,delta 2
3:57541263-57543189,PDE12,delta 2
3:57741469-57743137,SLMAP,delta 2
3:58419053-58419939,PDHB,delta 2
3:59035206-59036128,C3orf67,delta 2
3:62858799-62860304,CADPS,delta 2
3:63897337-63898901,ATXN7,delta 2
3:64008646-64009429,PSMD6,delta 2
3:66271012-66271868,SLC25A26,delta 2
3:71773658-71774990,EIF4E3,delta 2
3:81792187-81793888,GBE1,delta 2
3:85775351-85775811,CADM2,delta 2
3:93692024-93693082,PROS1,delta 2
3:96531980-96533597,EPHA6,delta 2
3:98619910-98621028,DCBLD2,delta 2
3:9884962-9885980,RPUSD3,delta 2
3:9974332-9975988,CRELD1,delta 2
4:102267727-102269607,PPP3CA,delta 2
4:102267727-102269607,AP001816.1,delta 2
4:103421527-103423701,NFKB1,delta 2
4:103996593-103998251,SLC9B2,delta 2
4:106473294-106474107,ARHGEF38,delta 1
4:108745209-108746613,SGMS2,delta 2
4:108910677-108911417,HADH,delta 2
4:110480780-110482342,CCDC109B,delta 2
4:110623736-110625071,CASP6,delta 2
4:113066248-113067529,C4orf32,delta 2
4:113152417-113153775,AP1AR,delta 2
4:120548285-120548962,PDE5A,delta 2
4:121993273-121994422,NDNF,delta 1
4:128543897-128544872,INTU,delta 2
4:128702818-128704667,HSPA4L,delta 2
4:128801676-128802911,PLK4,delta 2
